# x1, y1, x2, y2
-0.32625,0.25807,-0.32088,0.23365
0.23694,-0.19847,0.26183,-0.20085
0.12091,0.18060,0.10632,0.20090
0.20346,0.17280,0.18665,0.15430
0.10632,0.20090,0.08377,0.21169
-0.28465,-0.36261,-0.26949,-0.34274
0.00882,-0.35890,0.00413,-0.38346
-0.32625,0.25807,-0.31565,0.28071
0.11706,-0.01111,0.13689,-0.02633
0.08377,0.21169,0.09363,0.18872
0.22531,-0.03311,0.23990,-0.01281
0.08377,0.21169,0.07579,0.23538
-0.28956,-0.35716,-0.27563,-0.37792
0.13044,-0.33367,0.11643,-0.35438
0.14076,-0.14774,0.13365,-0.17171
0.13365,-0.17171,0.11153,-0.18335
0.20346,0.17280,0.18839,0.15285
0.28002,-0.40331,0.28098,-0.42829
-0.26615,0.02419,-0.28712,0.03780
0.10423,-0.09958,0.10883,-0.12415
-0.14205,0.11434,-0.12070,0.12736
0.02312,-0.29515,0.02238,-0.32014
-0.16651,-0.07102,-0.18109,-0.09133
0.28098,-0.42829,0.30598,-0.42808
0.30598,-0.42808,0.32695,-0.41446
0.07579,0.23538,0.05957,0.21636
0.23427,-0.37979,0.22486,-0.40295
0.22486,-0.40295,0.21813,-0.42702
-0.06475,-0.10552,-0.04064,-0.11214
0.12257,0.15565,0.14225,0.17106
-0.13976,-0.05868,-0.15985,-0.04380
0.33356,-0.00834,0.34822,-0.02859
0.34822,-0.02859,0.36428,-0.04775
0.20346,0.17280,0.18698,0.15400
-0.31565,0.28071,-0.31268,0.25588
0.32695,-0.41446,0.33776,-0.43700
-0.06475,-0.10552,-0.07939,-0.08526
-0.31565,0.28071,-0.30848,0.25675
0.20346,0.17280,0.17848,0.17179
0.23209,0.01330,0.24087,-0.01011
0.25553,0.02199,0.23737,0.00482
0.05610,-0.10326,0.03407,-0.11508
0.33776,-0.43700,0.36167,-0.42969
-0.28712,0.03780,-0.31208,0.03634
-0.31565,0.28071,-0.31543,0.30570
0.20346,0.17280,0.19646,0.14880
0.30986,0.09979,0.29816,0.07769
0.07579,0.23538,0.09066,0.25549
-0.39966,-0.28780,-0.39278,-0.31183
-0.39966,-0.28780,-0.37574,-0.29507
0.21204,-0.19630,0.21244,-0.22130
-0.13421,0.05049,-0.11029,0.05775
0.30986,0.09979,0.33481,0.09828
-0.31543,0.30570,-0.33308,0.32342
-0.31208,0.03634,-0.32732,0.01652
0.09066,0.25549,0.10301,0.23375
0.36428,-0.04775,0.35844,-0.02344
0.36167,-0.42969,0.34261,-0.44587
0.09066,0.25549,0.09829,0.27929
0.09829,0.27929,0.11340,0.29921
-0.32732,0.01652,-0.35231,0.01668
-0.22963,-0.41309,-0.20770,-0.42510
-0.33308,0.32342,-0.30895,0.31688
-0.36961,-0.31801,-0.39091,-0.33110
0.26183,-0.20085,0.28673,-0.19861
-0.25304,0.21294,-0.26556,0.19130
0.19646,0.14880,0.17299,0.15741
-0.35231,0.01668,-0.34334,0.04001
0.35844,-0.02344,0.37581,-0.00546
-0.25238,0.17030,-0.22742,0.16893
0.37581,-0.00546,0.40059,-0.00211
0.32508,0.01518,0.31880,-0.00902
-0.25304,0.21294,-0.27534,0.20164
-0.19491,-0.29442,-0.21454,-0.30991
0.00413,-0.38346,0.01699,-0.40489
-0.33308,0.32342,-0.35808,0.32341
-0.28046,0.00370,-0.28087,0.02869
-0.25796,0.14593,-0.24972,0.16953
0.36428,-0.04775,0.35660,-0.07154
-0.24201,-0.29372,-0.24378,-0.31866
0.05610,-0.10326,0.05079,-0.12769
0.22531,-0.03311,0.23571,-0.05584
-0.39966,-0.28780,-0.41379,-0.26717
0.11340,0.29921,0.09116,0.28780
0.19435,0.14097,0.21686,0.13011
0.11340,0.29921,0.08872,0.29524
-0.07939,-0.08526,-0.06134,-0.10256
0.11340,0.29921,0.09044,0.28933
-0.26615,0.02419,-0.28341,0.04228
-0.41379,-0.26717,-0.40433,-0.29031
-0.41379,-0.26717,-0.41694,-0.24237
-0.35808,0.32341,-0.33798,0.30854
0.11340,0.29921,0.09649,0.28080
0.08872,0.29524,0.06433,0.30074
0.09066,0.25549,0.06566,0.25566
0.05628,-0.36049,0.07827,-0.34860
-0.35231,0.01668,-0.37675,0.02195
-0.30895,0.31688,-0.33147,0.30602
0.35660,-0.07154,0.33344,-0.06212
-0.33308,0.32342,-0.33397,0.34840
-0.37675,0.02195,-0.40171,0.02337
0.06433,0.30074,0.08916,0.29787
0.11153,-0.18335,0.09437,-0.20153
-0.32088,0.23365,-0.34553,0.22948
-0.13421,0.05049,-0.12326,0.02802
-0.35231,0.01668,-0.34930,0.04149
-0.50629,-0.46831,-0.51267,-0.49248
0.11340,0.29921,0.08913,0.29321
-0.25304,0.21294,-0.27561,0.22368
-0.01196,-0.11028,-0.03685,-0.10795
0.36167,-0.42969,0.38565,-0.42261
-0.15422,-0.07907,-0.17884,-0.07477
0.09437,-0.20153,0.10567,-0.22383
-0.28046,0.00370,-0.29328,-0.01777
0.06566,0.25566,0.09027,0.25127
-0.39183,-0.44660,-0.41148,-0.43115
0.01699,-0.40489,0.00890,-0.38124
-0.31543,0.30570,-0.32963,0.32629
-0.29328,-0.01777,-0.29665,0.00700
0.15904,0.09291,0.13510,0.08573
-0.33397,0.34840,-0.32464,0.37159
0.11340,0.29921,0.13838,0.30021
0.40059,-0.00211,0.42098,0.01235
-0.36951,-0.38703,-0.34454,-0.38584
0.13838,0.30021,0.11631,0.28846
-0.01111,-0.17555,-0.01468,-0.15081
-0.29328,-0.01777,-0.31247,-0.03379
0.04210,-0.31142,0.05527,-0.29017
-0.18109,-0.09133,-0.20455,-0.09998
-0.35808,0.32341,-0.37746,0.33920
0.05957,0.21636,0.07758,0.19903
-0.05417,-0.28404,-0.03353,-0.29815
-0.36879,-0.41202,-0.37631,-0.38818
0.13838,0.30021,0.11380,0.29562
0.13044,-0.33367,0.12139,-0.31037
0.06433,0.30074,0.04267,0.31323
-0.40171,0.02337,-0.42529,0.03168
-0.32464,0.37159,-0.33226,0.39540
-0.42529,0.03168,-0.44462,0.01584
0.13838,0.30021,0.16113,0.31058
0.04267,0.31323,0.05824,0.29366
0.34261,-0.44587,0.33685,-0.42154
0.09437,-0.20153,0.09740,-0.22634
0.16587,0.04338,0.18991,0.03652
0.18058,0.00132,0.18180,0.02629
0.16113,0.31058,0.18330,0.32213
0.26183,-0.20085,0.23789,-0.19364
0.16055,-0.37399,0.17917,-0.39067
0.14225,0.17106,0.14215,0.14606
-0.31247,-0.03379,-0.32696,-0.01342
0.04267,0.31323,0.02011,0.32399
-0.12749,-0.29898,-0.13661,-0.27571
-0.12070,0.12736,-0.09895,0.13967
0.12257,0.15565,0.11980,0.13080
-0.37631,-0.38818,-0.37706,-0.36319
-0.14530,-0.24843,-0.13099,-0.26892
0.35660,-0.07154,0.37781,-0.08476
-0.25304,0.21294,-0.26620,0.19169
-0.37746,0.33920,-0.39873,0.32607
-0.41694,-0.24237,-0.41218,-0.21783
-0.15106,-0.30027,-0.16371,-0.27871
0.30986,0.09979,0.30448,0.07538
0.23990,-0.01281,0.22806,0.00921
0.18330,0.32213,0.16273,0.30791
-0.31974,-0.29836,-0.31311,-0.32247
-0.44462,0.01584,-0.43990,0.04039
0.18054,0.12047,0.15670,0.12800
-0.31828,0.20262,-0.32257,0.22724
0.18330,0.32213,0.20690,0.33038
0.38565,-0.42261,0.41023,-0.41804
-0.23798,0.13089,-0.21841,0.14645
-0.41694,-0.24237,-0.44185,-0.24035
-0.44462,0.01584,-0.44801,-0.00893
-0.34553,0.22948,-0.37047,0.23125
0.20690,0.33038,0.22905,0.34196
0.41023,-0.41804,0.38921,-0.43157
0.22905,0.34196,0.21668,0.32024
0.38565,-0.42261,0.38966,-0.44729
-0.12070,0.12736,-0.11069,0.10445
0.01699,-0.40489,0.01808,-0.37992
-0.41218,-0.21783,-0.41548,-0.24261
0.07758,0.19903,0.06202,0.17946
0.22905,0.34196,0.21017,0.32558
0.02011,0.32399,-0.00043,0.33824
-0.00043,0.33824,0.00231,0.31339
0.06202,0.17946,0.04576,0.19845
0.22905,0.34196,0.25320,0.34843
-0.00043,0.33824,0.00155,0.36316
0.33776,-0.43700,0.36257,-0.43389
-0.12150,-0.17753,-0.13671,-0.15768
0.25320,0.34843,0.22983,0.33957
0.04267,0.31323,0.01926,0.30445
0.00155,0.36316,0.01473,0.34192
0.25320,0.34843,0.23005,0.33899
0.41023,-0.41804,0.40953,-0.44303
0.25320,0.34843,0.22937,0.34088
0.01699,-0.40489,0.00388,-0.42618
-0.29328,-0.01777,-0.31459,-0.00470
-0.33226,0.39540,-0.31213,0.38058
